交易日期,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交資料(張數),成交資料(筆數),成交資料(均張),成交資料(億元),法人買賣超(張)(外資),法人買賣超(張)(投信),法人買賣超(張)(自營),法人買賣超(張)(合計),外資持股(%),融資(張)(增減),融資(張)(餘額),融券(張)(增減),融券(張)(餘額),券資比(%)
'25/03/27,58,58.2,57.7,58.2,+0.2,+0.34,0.86,"1,002",997,1,0.58,+727,0,-14.6,+712,9.68,-34,797,-1,2,0.25
'25/03/26,57.9,58,57.7,58,+0.2,+0.35,0.52,597,669,0.89,0.35,+377,0,+20.1,+397,9.6,0,831,0,3,0.36
'25/03/25,58.3,58.5,57.7,57.8,-0.5,-0.86,1.37,766,969,0.79,0.44,+120,+2,+10,+132,9.57,+35,831,+1,3,0.36
'25/03/24,58.1,58.3,57.6,58.3,+0.8,+1.39,1.22,"1,522","1,320",1.15,0.88,+655,+454,-5,"+1,104",9.55,+6,796,0,2,0.25
'25/03/21,58,58.2,57.5,57.5,-0.5,-0.86,1.21,"2,453","1,238",1.98,1.42,+135,+268,+106,+510,9.47,+3,790,0,2,0.25
'25/03/20,57.9,58,57.6,58,+0.1,+0.17,0.69,748,944,0.79,0.43,+320,-4,+34.1,+350,9.45,-33,787,0,2,0.25
'25/03/19,58,58.2,57.3,57.9,-0.1,-0.17,1.55,"1,339","1,128",1.19,0.77,+72.5,+374,-15.5,+431,9.42,+9,820,0,2,0.24
'25/03/18,57.7,58,57.3,58,+0.6,+1.05,1.22,"1,749","2,062",0.85,1.01,+314,+535,+27.5,+877,9.48,-30,811,0,2,0.25
'25/03/17,57.6,58.3,56.8,57.4,0,0,2.61,"2,745","3,300",0.83,1.58,+110,+676,+127,+912,9.45,-43,841,-1,2,0.24
'25/03/14,56.8,57.4,56.6,57.4,+0.6,+1.06,1.41,"2,570","2,161",1.19,1.47,"+1,107",+681,-57,"+1,731",9.43,+16,884,0,3,0.34
'25/03/13,56.8,57,55.1,56.8,+0.8,+1.43,3.39,"3,315","2,734",1.21,1.87,"+1,515",+158,+41,"+1,714",9.3,-586,868,+2,3,0.35
'25/03/12,56.1,56.4,55.8,56,-0.1,-0.18,1.07,661,725,0.91,0.37,+82.3,+99,-4.64,+177,9.15,+5,"1,454",0,1,0.07
'25/03/11,55.6,56.1,55.2,56.1,0,0,1.6,"1,107","1,124",0.99,0.62,+313,+253,-59,+507,9.14,-6,"1,449",0,1,0.07
'25/03/10,55.7,56.1,55.7,56.1,+0.3,+0.54,0.72,"1,004","1,509",0.67,0.56,+306,+248,-27,+527,9.1,0,"1,455",0,1,0.07
'25/03/07,55.5,55.8,55.5,55.8,0,0,0.54,697,795,0.88,0.39,+192,+229,-3.08,+418,9.06,+4,"1,455",0,1,0.07
'25/03/06,55.9,55.9,55.4,55.8,0,0,0.9,488,"1,119",0.44,0.27,-64.9,+141,+6,+82.1,9.05,+17,"1,451",0,1,0.07
'25/03/05,55.3,55.9,55.3,55.8,+0.1,+0.18,1.08,631,918,0.69,0.35,+131,+154,-5,+280,9.05,-18,"1,434",0,1,0.07
'25/03/04,55.1,55.7,55.1,55.7,0,0,1.08,838,"1,069",0.78,0.46,-25,+215,-4,+186,9.05,-16,"1,452",0,1,0.07
'25/03/03,55.5,55.8,55.1,55.7,+0.1,+0.18,1.26,"1,495","1,442",1.04,0.83,+777,+281,-56.7,"+1,001",9.06,-6,"1,468",0,1,0.07
'25/02/27,56,56.2,55.6,55.6,-0.4,-0.71,1.07,"1,289",972,1.33,0.72,-36.8,+287,+14,+264,8.98,+3,"1,474",0,1,0.07
'25/02/26,56,56.2,55.8,56,-0.1,-0.18,0.71,640,"1,081",0.59,0.36,+300,-3,-9.44,+287,8.99,+6,"1,471",0,1,0.07
'25/02/25,56.1,56.4,56.1,56.1,-0.5,-0.88,0.53,952,905,1.05,0.53,+137,+5,-21,+121,8.97,-33,"1,465",-1,1,0.07
'25/02/24,56,56.7,55.7,56.6,+0.5,+0.89,1.78,"2,104","1,812",1.16,1.19,"+1,073",+517,-13,"+1,577",8.95,-233,"1,498",-3,2,0.13
'25/02/21,56,56.2,55.7,56.1,+0.3,+0.54,0.9,"1,876","1,929",0.97,1.05,+614,+350,+14.6,+979,8.84,-173,"1,731",+2,5,0.29
'25/02/20,55.3,55.9,55.1,55.8,+0.8,+1.45,1.45,"2,282","1,943",1.17,1.27,+627,+133,+37.5,+798,8.78,+4,"1,904",0,3,0.16
'25/02/19,55.3,55.4,54.8,55,0,0,1.09,973,"1,046",0.93,0.54,+248,+123,+17,+388,8.71,-34,"1,900",0,3,0.16
'25/02/18,54.8,55,54.3,55,0,0,1.27,940,"1,271",0.74,0.51,+199,+164,-29.3,+334,8.81,-30,"1,934",0,3,0.16
'25/02/17,54.1,55.6,54.1,55,+1.1,+2.04,2.78,"3,204","3,221",0.99,1.76,+199,+164,-29.3,+334,8.8,-44,"1,964",0,3,0.15
'25/02/14,53.6,54,53.5,53.9,+0.3,+0.56,0.93,"1,323","1,159",1.14,0.71,+601,+106,+22,+729,8.63,+9,"2,008",0,3,0.15
'25/02/13,53.2,53.6,53.2,53.6,+0.6,+1.13,0.75,767,799,0.96,0.41,+462,+106,+4,+572,8.57,+2,"1,999",0,3,0.15
'25/02/12,53.2,53.2,52.9,53,-0.3,-0.56,0.56,707,961,0.74,0.37,-137,+102,-8,-43.2,8.52,-5,"1,997",0,3,0.15
'25/02/11,53.1,53.6,53,53.3,-0.1,-0.19,1.12,819,"1,530",0.54,0.44,+67,+138,-22.8,+182,8.54,-83,"2,002",0,3,0.15
'25/02/10,53.3,53.5,53.2,53.4,-0.1,-0.19,0.56,818,887,0.92,0.44,+79,+130,-29.9,+179,8.53,+41,"2,085",0,3,0.14
'25/02/07,53.4,53.5,53,53.5,+0.1,+0.19,0.94,456,"1,310",0.35,0.24,-127,+164,+5,+41.7,8.52,-4,"2,044",0,3,0.15
'25/02/06,53,53.4,52.7,53.4,+0.3,+0.56,1.32,816,880,0.93,0.43,+261,+151,-18.5,+394,8.54,-5,"2,048",0,3,0.15
'25/02/05,53,53.1,52.8,53.1,+0.1,+0.19,0.57,726,827,0.88,0.38,-122,+168,+29,+74.8,8.51,+1,"2,053",0,3,0.15
'25/02/04,52.7,53.2,52.4,53,+0.3,+0.57,1.52,959,"1,147",0.84,0.51,+248,+149,-20,+377,8.52,-5,"2,052",0,3,0.15
'25/02/03,51.6,52.8,51.6,52.7,+1.1,+2.13,2.33,"1,405","1,495",0.94,0.73,+565,+115,-8.36,+672,8.5,-17,"2,057",-19,3,0.15
'25/01/22,52.1,52.1,51.6,51.6,-0.2,-0.39,0.97,463,765,0.6,0.24,-27,0,+16,-11,8.44,+6,"2,074",-1,22,1.06
'25/01/21,51.9,52.1,51.6,51.8,-0.1,-0.19,0.96,233,421,0.55,0.12,+51.4,-6,+4,+49.4,8.6,-6,"2,068",0,23,1.11
'25/01/20,52.1,52.1,51.7,51.9,-0.2,-0.38,0.77,308,635,0.49,0.16,+15.3,0,+3,+18.3,8.6,-4,"2,074",0,23,1.11
'25/01/17,51.5,52.1,51.3,52.1,+0.6,+1.17,1.55,701,969,0.72,0.36,-14.6,+298,0,+283,8.6,-4,"2,078",0,23,1.11
'25/01/16,52,52,51.5,51.5,-0.3,-0.58,0.97,603,754,0.8,0.31,+104,+78,+48.6,+230,8.6,-42,"2,082",0,23,1.1
'25/01/15,52,52.2,51.2,51.8,-0.2,-0.38,1.92,"1,107","1,760",0.63,0.57,-239,+513,+0.67,+275,8.67,-80,"2,124",-1,23,1.08
'25/01/14,51.9,52,51.2,52,0,0,1.54,"1,232","1,529",0.81,0.64,-504,+770,-28,+238,8.68,-49,"2,204",0,24,1.09
'25/01/13,50.4,52,50.1,52,+0.9,+1.76,3.72,"1,917","1,717",1.12,0.98,-453,+822,-72.1,+297,8.73,+4,"2,253",-1,24,1.07
'25/01/10,50.4,51.1,50.1,51.1,+0.5,+0.99,1.98,"1,063","1,138",0.93,0.54,-527,+297,-12.4,-242,8.77,-18,"2,249",+16,25,1.11
'25/01/09,51.6,51.6,50.6,50.6,-1,-1.94,1.94,"1,186","1,236",0.96,0.6,-559,-5,-11.6,-576,8.81,-6,"2,267",-2,9,0.4
'25/01/08,51.2,51.6,50.8,51.6,+0.4,+0.78,1.56,"1,000","1,056",0.95,0.51,-338,+445,-1.28,+106,8.87,+10,"2,273",0,11,0.48
'25/01/07,51.9,51.9,50.8,51.2,-0.6,-1.16,2.12,"1,259","1,698",0.74,0.64,-451,+285,+1.32,-164,8.9,+23,"2,263",0,11,0.49
'25/01/06,51.5,51.8,51.5,51.8,+0.4,+0.78,0.58,717,"1,305",0.55,0.37,-222,+292,+52,+122,8.93,+5,"2,240",-5,11,0.49
'25/01/03,51.3,51.4,50.8,51.4,+0.1,+0.19,1.17,692,614,1.13,0.35,-299,+292,-6.71,-13.7,8.94,-47,"2,235",-1,16,0.72
'25/01/02,51.1,51.3,51,51.3,-0.2,-0.39,0.58,"1,034",968,1.07,0.53,-606,+290,-95.8,-412,8.96,-94,"2,282",0,17,0.74
'24/12/31,51.7,51.7,51.2,51.5,-0.4,-0.77,0.96,"1,037","1,289",0.8,0.53,-391,0,+86.7,-304,9.03,-125,"2,376",+1,17,0.72
'24/12/30,52.4,52.4,51.7,51.9,-0.5,-0.95,1.34,798,"1,926",0.41,0.41,-487,+277,-24.1,-234,9.08,+6,"2,501",0,16,0.64
'24/12/27,52.9,52.9,52,52.4,-0.6,-1.13,1.7,926,"1,220",0.76,0.48,-534,+350,+6.52,-177,9.17,+11,"2,495",+1,16,0.64
'24/12/26,52.7,53,52.1,53,+0.4,+0.76,1.71,"1,520","1,183",1.28,0.8,-805,"+1,129",-32,+292,9.2,-20,"2,484",-1,15,0.6
'24/12/25,52.2,52.8,51.6,52.6,+0.6,+1.15,2.31,"1,495","1,331",1.12,0.78,-877,"+1,060",+32,+215,9.26,-24,"2,504",-14,16,0.64
'24/12/24,50.9,52,50.9,52,+1.3,+2.56,2.17,"2,420","1,717",1.41,1.25,-907,"+1,777",-82.9,+787,9.34,+5,"2,528",+14,30,1.19
'24/12/23,50.7,51.4,50.5,50.7,+0.3,+0.6,1.79,"3,003","1,838",1.63,1.53,"-2,111","+1,869",-2,-244,9.43,-80,"2,523",+5,16,0.63
'24/12/20,51.1,51.6,50.4,50.4,-0.7,-1.37,2.35,"3,260","2,935",1.11,1.66,"-2,064","+1,225",+43.4,-796,9.59,+28,"2,603",+2,11,0.42
'24/12/19,51.1,51.9,51.1,51.1,-0.3,-0.58,1.56,"2,369","3,529",0.67,1.22,"-1,058","+1,102",+8.98,+53.4,9.81,-147,"2,575",0,9,0.35
