交易日期,開盤,最高,最低,收盤,漲跌,漲跌(%),振幅(%),成交資料(張數),成交資料(筆數),成交資料(均張),成交資料(億元),法人買賣超(張)(外資),法人買賣超(張)(投信),法人買賣超(張)(自營),法人買賣超(張)(合計),外資持股(%),融資(張)(增減),融資(張)(餘額),融券(張)(增減),融券(張)(餘額),券資比(%)
'24/12/18,51.8,52.4,51.4,51.4,-0.4,-0.77,1.93,"2,202","4,185",0.53,1.14,"-1,107","+1,050",-78.3,-135,9.89,-37,"2,722",0,9,0.33
'24/12/17,52.8,53.1,51.8,51.8,-1.2,-2.26,2.45,"2,087","2,850",0.73,1.09,-986,+693,+14,-279,10,+144,"2,759",0,9,0.33
'24/12/16,53.5,53.6,52.6,53,+0.1,+0.19,1.89,"1,809","1,873",0.97,0.96,-137,+341,+18,+222,10.1,-32,"2,615",0,9,0.34
'24/12/13,53,53.2,52.7,52.9,-0.2,-0.38,0.94,963,"1,466",0.66,0.51,-385,+341,-25.3,-68.8,10.1,-131,"2,647",0,9,0.34
'24/12/12,53.2,53.6,53.1,53.1,-0.4,-0.75,0.93,819,554,1.48,0.44,+106,0,+12,+118,10.2,-148,"2,778",0,9,0.32
'24/12/11,52.9,53.6,52.9,53.5,+0.4,+0.75,1.32,865,699,1.24,0.46,+336,-2,-15.9,+318,10.1,-41,"2,926",0,9,0.31
'24/12/10,53.7,53.7,53.1,53.1,-0.6,-1.12,1.12,748,"1,107",0.68,0.4,+45.1,-6,-2,+37.1,10.1,+6,"2,967",+1,9,0.3
'24/12/09,53.8,53.8,53.2,53.7,-0.1,-0.19,1.12,582,"1,139",0.51,0.31,+23.9,0,0,+23.9,10.1,+8,"2,961",0,8,0.27
'24/12/06,53.5,53.8,53.3,53.8,+0.3,+0.56,0.93,796,"1,481",0.54,0.43,+362,-2,0,+360,10.1,-24,"2,953",0,8,0.27
'24/12/05,53.6,53.7,53.3,53.5,-0.2,-0.37,0.74,540,589,0.92,0.29,-38,0,+2,-36,10,+19,"2,977",0,8,0.27
'24/12/04,53.7,53.7,53.1,53.7,0,0,1.12,819,889,0.92,0.44,+184,+4,+7,+195,10,+81,"2,958",0,8,0.27
'24/12/03,53.8,54,53.3,53.7,0,0,1.3,"1,139","1,254",0.91,0.61,-26,+48,0,+22,9.99,+13,"2,877",-1,8,0.28
'24/12/02,53.3,53.7,53.2,53.7,+0.4,+0.75,0.94,"1,008","1,009",1,0.54,+196,+244,+4.24,+445,9.99,-50,"2,864",0,9,0.31
'24/11/29,52.8,53.3,52.2,53.3,+0.1,+0.19,2.07,900,923,0.98,0.48,+7.73,+101,-23,+85.7,9.96,-7,"2,914",-1,9,0.31
'24/11/28,53.3,53.3,52.8,53.2,0,0,0.94,736,715,1.03,0.39,+139,+4,-3.27,+140,9.95,-10,"2,921",0,10,0.34
'24/11/27,53,53.5,53,53.2,+0.3,+0.57,0.95,"1,024","1,137",0.9,0.55,+580,+2,+2,+584,9.93,+80,"2,931",0,10,0.34
'24/11/26,53.4,53.4,52.9,52.9,-0.5,-0.94,0.94,654,880,0.74,0.35,+95.1,+2,-2.51,+94.5,9.93,+13,"2,851",+1,10,0.35
'24/11/25,53,53.4,52.9,53.4,+0.6,+1.14,0.95,"1,036","1,098",0.94,0.55,+480,0,+52,+532,9.95,+84,"2,838",0,9,0.32
'24/11/22,52.8,52.9,52.5,52.8,0,0,0.76,577,640,0.9,0.3,+208,0,+28,+236,9.85,+12,"2,754",-1,9,0.33
'24/11/21,52.8,53,52.6,52.8,-0.1,-0.19,0.76,703,785,0.9,0.37,+244,+4,-11,+237,9.83,+1,"2,742",+1,10,0.36
'24/11/20,52.4,52.9,52.3,52.9,+0.2,+0.38,1.14,"1,003","1,012",0.99,0.53,-23.7,+255,+16.4,+248,9.81,+84,"2,741",0,9,0.33
'24/11/19,52.4,52.7,52.1,52.7,+0.6,+1.15,1.15,"1,219","1,036",1.18,0.64,+270,+258,+66,+594,9.8,+68,"2,657",0,9,0.34
'24/11/18,51.7,52.4,51.4,52.1,+0.6,+1.17,1.94,"1,215",967,1.26,0.63,+400,+263,+30,+693,9.77,-13,"2,589",0,9,0.35
'24/11/15,51.3,51.7,51.3,51.5,+0.2,+0.39,0.78,680,591,1.15,0.35,+264,0,+3,+267,9.72,+12,"2,602",0,9,0.35
'24/11/14,51.2,51.6,51.1,51.3,+0.1,+0.2,0.98,613,554,1.11,0.31,-87,+1,-69,-155,9.7,+205,"2,590",0,9,0.35
'24/11/13,51.1,51.7,50.8,51.2,+0.2,+0.39,1.76,960,744,1.29,0.49,-217,+1,-84.5,-301,9.71,+499,"2,385",-1,9,0.38
'24/11/12,50.9,51.4,50.8,51,-0.4,-0.78,1.17,770,786,0.98,0.39,-89,0,-31.5,-121,9.72,+6,"1,886",0,10,0.53
'24/11/11,51.2,51.4,50.9,51.4,+0.2,+0.39,0.98,609,624,0.98,0.31,+37,0,-0.6,+36.4,9.73,-8,"1,880",-1,10,0.53
'24/11/08,51.5,51.5,51,51.2,+0.1,+0.2,0.98,847,731,1.16,0.43,-214,0,+2.96,-211,9.73,-1,"1,888",0,11,0.58
'24/11/07,50.8,51.3,50.8,51.1,+0.1,+0.2,0.98,496,576,0.86,0.25,-41,0,-0.12,-41.1,9.75,+8,"1,889",-1,11,0.58
'24/11/06,51.1,51.3,50.9,51,-0.1,-0.2,0.78,750,677,1.11,0.38,-108,0,+45.3,-62.7,9.76,+27,"1,881",0,12,0.64
'24/11/05,51.4,51.7,51.1,51.1,-0.4,-0.78,1.17,387,537,0.72,0.2,-122,+4,-18.1,-136,9.77,+4,"1,854",0,12,0.65
'24/11/04,51.6,51.8,51.2,51.5,-0.1,-0.19,1.16,537,813,0.66,0.28,+49,+1,+4,+54,9.78,-2,"1,850",-1,12,0.65
'24/11/01,51.2,51.6,50.8,51.6,+0.4,+0.78,1.56,"1,052","1,019",1.03,0.54,+421,+3,-50,+374,9.77,0,"1,852",0,13,0.7
'24/10/30,51.4,51.5,51,51.2,0,0,0.98,760,689,1.1,0.39,-307,0,+2,-305,9.72,+32,"1,852",0,13,0.7
'24/10/29,51,51.2,50.8,51.2,+0.1,+0.2,0.78,892,894,1,0.46,-304,+6,-57,-355,9.72,+22,"1,820",+1,13,0.71
'24/10/28,50.9,51.5,50.9,51.1,+0.2,+0.39,1.18,549,612,0.9,0.28,-8,+1,+39.6,+32.6,9.75,+9,"1,798",-2,12,0.67
'24/10/25,50.9,51.1,50.7,50.9,0,0,0.79,488,580,0.84,0.25,-106,0,-7.97,-114,9.72,+3,"1,789",0,14,0.78
'24/10/24,50.9,51.2,50.7,50.9,0,0,0.98,591,693,0.85,0.3,-133,+9,-3.29,-127,9.74,0,"1,786",+1,14,0.78
'24/10/23,51.5,51.6,50.9,50.9,-0.6,-1.17,1.36,"1,012","1,315",0.77,0.52,-347,-164,-68.1,-579,9.75,+6,"1,786",0,13,0.73
'24/10/22,51.5,51.6,51.2,51.5,0,0,0.78,757,721,1.05,0.39,-175,+288,+16.8,+130,9.76,-4,"1,780",-1,13,0.73
'24/10/21,51.6,51.8,51.3,51.5,0,0,0.97,544,668,0.81,0.28,+88,+69,+22.4,+179,9.77,-22,"1,784",0,14,0.78
'24/10/18,51.4,51.6,51.1,51.5,+0.3,+0.59,0.98,566,615,0.92,0.29,+83,+1,+53.7,+138,9.75,0,"1,806",+1,14,0.78
'24/10/17,51,51.5,50.7,51.2,+0.7,+1.39,1.58,"1,010","1,209",0.84,0.52,-231,+12,+31.2,-188,9.84,-4,"1,806",0,13,0.72
'24/10/16,51.7,51.7,50.5,50.5,-1.4,-2.7,2.31,"1,910","1,478",1.29,0.97,"-1,058",+12,+100,-945,9.85,-1,"1,810",-1,13,0.72
'24/10/15,51.8,52,51.5,51.9,+0.1,+0.19,0.97,611,729,0.84,0.32,+27,0,+14.1,+41.1,9.96,-2,"1,811",0,14,0.77
'24/10/14,51.9,51.9,51.5,51.8,-0.3,-0.58,0.77,755,900,0.84,0.39,-61,0,+4.66,-56.3,9.94,+44,"1,813",+2,14,0.77
'24/10/11,52,52.1,51.7,52.1,+0.1,+0.19,0.77,567,777,0.73,0.29,-114,0,-5.8,-120,9.94,+7,"1,769",0,12,0.68
'24/10/09,52,52.3,51.8,52,+0.1,+0.19,0.96,728,767,0.95,0.38,-204,+1,-20,-223,9.95,+1,"1,762",+1,12,0.68
'24/10/08,52.1,52.5,51.9,51.9,-0.5,-0.95,1.15,878,968,0.91,0.46,-223,0,-21.6,-245,9.96,+21,"1,761",0,11,0.62
'24/10/07,52.1,53,52.1,52.4,+0.5,+0.96,1.73,"1,166","1,206",0.97,0.61,+361,+2,+43,+406,9.99,+8,"1,740",-1,11,0.63
'24/10/04,51.7,52,51.5,51.9,+0.2,+0.39,0.97,676,711,0.95,0.35,-53.5,+3,-41.4,-91.9,9.94,+8,"1,732",0,12,0.69
'24/10/01,52,52,51.5,51.7,+0.2,+0.39,0.97,522,529,0.99,0.27,-121,-2,+6.48,-117,9.93,+7,"1,724",0,12,0.7
'24/09/30,52.4,52.7,51.5,51.5,-0.7,-1.34,2.3,"1,532","1,281",1.2,0.79,-524,0,+13.1,-511,9.94,+2,"1,717",0,12,0.7
'24/09/27,51.8,52.3,51.5,52.2,+0.9,+1.75,1.56,"1,418","1,185",1.2,0.74,+291,-1,+21,+311,9.99,-5,"1,715",0,12,0.7
'24/09/26,51.7,51.7,51.3,51.3,-0.1,-0.19,0.78,682,832,0.82,0.35,-192,+1,+62,-129,9.96,+11,"1,720",0,12,0.7
'24/09/25,51.4,51.7,51.3,51.4,+0.1,+0.19,0.78,884,942,0.94,0.46,-115,+2,+74.8,-38.2,9.98,+1,"1,709",-1,12,0.7
'24/09/24,51.3,51.5,51.2,51.3,-0.2,-0.39,0.58,685,798,0.86,0.35,-93.9,0,-18.2,-112,9.98,+5,"1,708",+1,13,0.76
'24/09/23,51.8,51.9,51.5,51.5,+0.3,+0.59,0.78,830,919,0.9,0.43,-21,-0.02,+35,+14,10,+8,"1,703",0,12,0.7
'24/09/20,51.3,52,51.2,51.2,-0.1,-0.19,1.56,"6,265","1,206",5.19,3.22,+359,-148,+32,+243,10,+90,"1,695",0,12,0.71
'24/09/19,51.4,51.6,51.2,51.3,-0.1,-0.19,0.78,738,738,1,0.38,-112,0,+22.1,-89.8,10,+34,"1,605",0,12,0.75
'24/09/18,51.5,51.6,51.1,51.4,+0.1,+0.19,0.97,942,972,0.97,0.48,-93.2,+2,-9.93,-101,10,+49,"1,571",0,12,0.76
'24/09/16,51,51.4,51,51.3,+0.4,+0.79,0.79,735,907,0.81,0.38,-115,0,+2.37,-113,10,+2,"1,522",-1,12,0.79
'24/09/13,51.1,51.2,50.9,50.9,-0.1,-0.2,0.59,741,776,0.95,0.38,+2,-26,+0.04,-24,10,+3,"1,520",0,13,0.86
'24/09/12,51.3,51.3,50.9,51,+0.1,+0.2,0.79,"1,017",903,1.13,0.52,-315,0,+41.3,-274,10,0,"1,517",0,13,0.86
'24/09/11,50.9,51.1,50.8,50.9,0,0,0.59,"1,144","1,064",1.08,0.58,-362,+1,+16.2,-345,10.1,-2,"1,517",0,13,0.86
'24/09/10,51.1,51.4,50.8,50.9,-0.3,-0.59,1.17,"1,179","1,121",1.05,0.6,-157,0,-10.9,-168,10.1,+1,"1,519",0,13,0.86
'24/09/09,50.7,51.2,50.6,51.2,0,0,1.17,"1,106","1,430",0.77,0.56,-293,0,-12,-305,10.1,-195,"1,518",+3,13,0.86
'24/09/06,51.1,51.4,50.8,51.2,+0.2,+0.39,1.18,759,935,0.81,0.39,-338,-8,+0.33,-346,10.2,+46,"1,713",+1,10,0.58
'24/09/05,51.5,51.8,51,51,-0.3,-0.58,1.56,"1,186","1,424",0.83,0.61,-454,-29,-53.1,-536,10.2,-7,"1,667",+4,9,0.54
'24/09/04,51.2,51.8,50.9,51.3,-1.2,-2.29,1.71,"1,979","2,192",0.9,1.02,-709,0,-97.6,-807,10.2,-19,"1,674",+1,5,0.3
'24/09/03,52.8,52.8,52.3,52.5,-0.3,-0.57,0.95,545,699,0.78,0.29,-309,0,+27.9,-281,10.3,+8,"1,693",0,4,0.24
'24/09/02,53.5,53.5,52.6,52.8,-0.8,-1.49,1.68,874,897,0.97,0.46,-615,0,+6.3,-609,10.3,+5,"1,685",0,4,0.24
'24/08/30,52.9,53.6,52.6,53.6,+0.9,+1.71,1.9,"1,324","1,078",1.23,0.7,+324,+1,+7.72,+333,10.3,+6,"1,680",0,4,0.24
'24/08/29,52.8,52.8,52.3,52.7,-0.1,-0.19,0.95,895,878,1.02,0.47,-361,0,-2.88,-364,10.2,-1,"1,674",0,4,0.24
'24/08/28,52.1,53,52.1,52.8,+0.7,+1.34,1.73,"1,508","1,237",1.22,0.79,+250,0,-14,+236,10.3,+156,"1,675",-1,4,0.24
'24/08/27,51.8,52.1,51.5,52.1,+0.2,+0.39,1.16,"1,237","1,244",0.99,0.64,+197,0,-27.4,+170,10.2,-4,"1,519",-2,5,0.33
'24/08/26,52.2,52.5,51.9,51.9,0,0,1.16,798,"1,028",0.78,0.42,-296,0,-3,-299,10.2,-5,"1,523",-1,7,0.46
'24/08/23,52.1,52.2,51.8,51.9,-0.2,-0.38,0.77,729,814,0.9,0.38,-287,0,-15.6,-303,10.2,-3,"1,528",0,8,0.52
'24/08/22,52.4,52.4,52,52.1,0,0,0.77,629,628,1,0.33,-78,0,-4.88,-82.9,10.2,-5,"1,531",0,8,0.52
'24/08/21,52.3,52.5,51.9,52.1,+0.2,+0.39,1.16,868,880,0.99,0.45,+113,+1,-132,-17.7,10.2,+15,"1,536",+1,8,0.52
'24/08/20,52.1,52.6,51.8,51.9,-0.1,-0.19,1.54,983,"1,016",0.97,0.51,-190,-2,-2.92,-195,10.2,-29,"1,521",+2,7,0.46
'24/08/19,52.2,52.3,51.5,52,0,0,1.54,913,"1,119",0.82,0.47,-55.9,0,-24.6,-80.5,10.2,+1,"1,550",-3,5,0.32
'24/08/16,52.5,52.6,52,52,-0.2,-0.38,1.15,"1,061","1,374",0.77,0.55,-508,-4,+12.4,-500,10.2,-8,"1,549",0,8,0.52
'24/08/15,52.6,52.7,52.2,52.2,-0.4,-0.76,0.95,516,881,0.59,0.27,-256,+1,+2.68,-252,10.3,+10,"1,557",+5,8,0.51
'24/08/14,52.5,53,52.4,52.6,+0.1,+0.19,1.14,572,"1,177",0.49,0.3,-59,0,+45.8,-13.2,10.3,+1,"1,547",-1,3,0.19
'24/08/13,53.2,53.2,52.3,52.5,-0.3,-0.57,1.7,821,"1,058",0.78,0.43,-216,+1,+4.26,-211,10.3,+1,"1,546",+2,4,0.26
'24/08/12,53,53.3,52.8,52.8,-0.2,-0.38,0.94,709,910,0.78,0.38,-203,0,+0.12,-203,10.3,0,"1,545",0,2,0.13
'24/08/09,53.3,53.8,53,53,+0.1,+0.19,1.51,799,924,0.86,0.43,-60.1,0,-70.4,-131,10.3,+5,"1,545",-1,2,0.13
'24/08/08,52.5,53.3,52.5,52.9,-0.1,-0.19,1.51,929,"1,043",0.89,0.49,+387,0,-41.3,+346,10.4,-4,"1,540",0,3,0.19
'24/08/07,52,53.2,52,53,+0.8,+1.53,2.3,979,"1,139",0.86,0.52,+71.2,+7,-8.32,+69.8,10.3,+21,"1,544",0,3,0.19
'24/08/06,52.3,52.4,51.1,52.2,+0.9,+1.75,2.53,"2,337","1,982",1.18,1.21,+939,+14,+0.24,+954,10.3,-28,"1,523",-1,3,0.2
'24/08/05,53.7,53.7,50.6,51.3,-2.9,-5.35,5.72,"3,342","3,553",0.94,1.73,-789,+2,-168,-955,10.2,-66,"1,551",+2,4,0.26
'24/08/02,55.2,55.3,54.2,54.2,-1,-1.81,1.99,"2,702","2,838",0.95,1.47,"-1,379",+12,-121,"-1,488",10.3,+5,"1,617",+2,2,0.12
'24/08/01,55.2,55.3,54.6,55.2,-0.1,-0.18,1.27,"3,434","4,009",0.86,1.89,-981,0,"-1,471","-2,452",10.4,+357,"1,612",0,0,0
'24/07/31,57.5,57.7,57.2,57.5,+0.1,+0.17,0.87,"1,726","2,737",0.63,0.99,+369,+3,+150,+522,10.6,-34,"1,255",0,0,0
'24/07/30,57.5,57.6,57,57.4,-0.2,-0.35,1.04,"1,220","3,353",0.36,0.7,-303,+9,-21.6,-316,10.5,+48,"1,289",0,0,0
'24/07/29,57.5,58.3,57.5,57.6,+0.2,+0.35,1.39,"1,493","1,392",1.07,0.86,+116,+5,-34.1,+86.9,10.5,-1,"1,241",0,0,0
'24/07/26,57.9,57.9,57.3,57.4,-0.7,-1.2,1.03,"1,155","3,907",0.3,0.66,-554,+12,+16,-526,10.5,+42,"1,242",0,0,0
'24/07/23,57.5,58.4,57.5,58.1,+0.6,+1.04,1.57,"1,380","1,155",1.2,0.8,+467,-1,+78,+544,10.6,+6,"1,200",0,0,0
'24/07/22,57.6,57.6,57,57.5,-0.1,-0.17,1.04,"1,522","1,880",0.81,0.87,-402,+6,+127,-268,10.5,+203,"1,194",-1,0,0
