交易日期,收盤價,漲跌價,漲跌幅,近四季EPS(元),目前PER(倍),本益比換算價格(10x),本益比換算價格(14x),本益比換算價格(18x),本益比換算價格(22x),本益比換算價格(26x),本益比換算價格(30x)
03/27,58.2,+0.2,+0.34%,4.24,13.73,42.39,59.34,76.3,93.26,110.2,127.2
03/26,58,+0.2,+0.35%,4.24,13.68,42.38,59.34,76.29,93.24,110.2,127.2
03/25,57.8,-0.5,-0.86%,4.24,13.64,42.38,59.33,76.28,93.23,110.2,127.1
03/24,58.3,+0.8,+1.39%,4.24,13.76,42.37,59.32,76.27,93.22,110.2,127.1
03/21,57.5,-0.5,-0.86%,4.24,13.57,42.37,59.31,76.26,93.21,110.2,127.1
03/20,58,+0.1,+0.17%,4.24,13.69,42.36,59.31,76.25,93.2,110.1,127.1
03/19,57.9,-0.1,-0.17%,4.24,13.67,42.36,59.3,76.24,93.18,110.1,127.1
03/18,58,+0.6,+1.05%,4.24,13.7,42.35,59.29,76.23,93.17,110.1,127.1
03/17,57.4,0,0%,4.24,13.56,42.35,59.28,76.22,93.16,110.1,127
03/14,57.4,+0.6,+1.06%,4.24,13.56,42.34,59.28,76.21,93.15,110.1,127
03/13,56.8,+0.8,+1.43%,4.24,13.42,42.33,59.27,76.2,93.14,110.1,127
03/12,56,-0.1,-0.18%,4.24,13.23,42.33,59.26,76.19,93.12,110.1,127
03/11,56.1,0,0%,4.24,13.26,42.32,59.25,76.18,93.11,110,127
03/10,56.1,+0.3,+0.54%,4.24,13.26,42.32,59.25,76.17,93.1,110,127
03/07,55.8,0,0%,4.24,13.19,42.31,59.24,76.16,93.09,110,126.9
03/06,55.8,0,0%,4.24,13.19,42.31,59.23,76.15,93.08,110,126.9
03/05,55.8,+0.1,+0.18%,4.24,13.19,42.3,59.22,76.14,93.06,110,126.9
03/04,55.7,0,0%,4.24,13.17,42.3,59.21,76.13,93.05,110,126.9
03/03,55.7,+0.1,+0.18%,4.24,13.17,42.29,59.21,76.12,93.04,110,126.9
02/27,55.6,-0.4,-0.71%,4.24,13.15,42.29,59.2,76.11,93.03,109.9,126.9
02/26,56,-0.1,-0.18%,4.24,13.25,42.28,59.19,76.1,93.02,109.9,126.8
02/25,56.1,-0.5,-0.88%,4.24,13.27,42.27,59.18,76.09,93,109.9,126.8
02/24,56.6,+0.5,+0.89%,4.24,13.39,42.27,59.18,76.08,92.99,109.9,126.8
02/21,56.1,+0.3,+0.54%,4.24,13.27,42.26,59.17,76.07,92.98,109.9,126.8
02/20,55.8,+0.8,+1.45%,4.24,13.2,42.26,59.16,76.06,92.97,109.9,126.8
02/19,55,0,0%,4.24,13.02,42.25,59.15,76.05,92.96,109.9,126.8
02/18,55,0,0%,4.24,13.02,42.25,59.15,76.05,92.94,109.8,126.7
02/17,55,+1.1,+2.04%,4.24,13.02,42.24,59.14,76.04,92.93,109.8,126.7
