交易日期,收盤價,漲跌價,漲跌幅,近四季EPS(元),目前PER(倍),本益比換算價格(10x),本益比換算價格(14x),本益比換算價格(18x),本益比換算價格(22x),本益比換算價格(26x),本益比換算價格(30x)
02/14,53.9,+0.3,+0.56%,4.24,12.76,42.24,59.13,76.03,92.92,109.8,126.7
02/13,53.6,+0.6,+1.13%,4.24,12.69,42.23,59.12,76.02,92.91,109.8,126.7
02/12,53,-0.3,-0.56%,4.24,12.55,42.23,59.12,76.01,92.9,109.8,126.7
02/11,53.3,-0.1,-0.19%,4.24,12.62,42.22,59.11,76,92.88,109.8,126.7
02/10,53.4,-0.1,-0.19%,4.24,12.65,42.21,59.1,75.99,92.87,109.8,126.6
02/07,53.5,+0.1,+0.19%,4.24,12.67,42.21,59.09,75.98,92.86,109.7,126.6
02/06,53.4,+0.3,+0.56%,4.24,12.65,42.2,59.09,75.97,92.85,109.7,126.6
02/05,53.1,+0.1,+0.19%,4.24,12.58,42.2,59.08,75.96,92.84,109.7,126.6
02/04,53,+0.3,+0.57%,4.24,12.56,42.19,59.07,75.95,92.82,109.7,126.6
02/03,52.7,+1.1,+2.13%,4.24,12.49,42.19,59.06,75.94,92.81,109.7,126.6
01/22,51.6,-0.2,-0.39%,4.24,12.23,42.18,59.05,75.93,92.8,109.7,126.5
01/21,51.8,-0.1,-0.19%,4.24,12.28,42.18,59.05,75.92,92.79,109.7,126.5
01/20,51.9,-0.2,-0.38%,4.24,12.31,42.17,59.04,75.91,92.78,109.6,126.5
01/17,52.1,+0.6,+1.17%,4.24,12.36,42.17,59.03,75.9,92.76,109.6,126.5
01/16,51.5,-0.3,-0.58%,4.24,12.22,42.16,59.02,75.89,92.75,109.6,126.5
01/15,51.8,-0.2,-0.38%,4.24,12.29,42.15,59.02,75.88,92.74,109.6,126.5
01/14,52,0,0%,4.24,12.34,42.15,59.01,75.87,92.73,109.6,126.4
01/13,52,+0.9,+1.76%,4.24,12.34,42.14,59,75.86,92.72,109.6,126.4
01/10,51.1,+0.5,+0.99%,4.24,12.13,42.14,58.99,75.85,92.7,109.6,126.4
01/09,50.6,-1,-1.94%,4.24,12.01,42.13,58.99,75.84,92.69,109.5,126.4
01/08,51.6,+0.4,+0.78%,4.24,12.25,42.13,58.98,75.83,92.68,109.5,126.4
01/07,51.2,-0.6,-1.16%,4.24,12.16,42.12,58.97,75.82,92.67,109.5,126.4
01/06,51.8,+0.4,+0.78%,4.24,12.3,42.12,58.96,75.81,92.66,109.5,126.3
01/03,51.4,+0.1,+0.19%,4.24,12.21,42.11,58.96,75.8,92.64,109.5,126.3
01/02,51.3,-0.2,-0.39%,4.24,12.18,42.11,58.95,75.79,92.63,109.5,126.3
12/31,51.5,-0.4,-0.77%,4.21,12.23,42.1,58.94,75.78,92.62,109.5,126.3
12/30,51.9,-0.5,-0.95%,4.21,12.33,42.08,58.91,75.74,92.57,109.4,126.2
12/27,52.4,-0.6,-1.13%,4.21,12.46,42.05,58.88,75.7,92.52,109.3,126.2
12/26,53,+0.4,+0.76%,4.21,12.61,42.03,58.85,75.66,92.47,109.3,126.1
12/25,52.6,+0.6,+1.15%,4.21,12.52,42.01,58.81,75.62,92.42,109.2,126
12/24,52,+1.3,+2.56%,4.21,12.38,41.99,58.78,75.58,92.37,109.2,126
12/23,50.7,+0.3,+0.6%,4.21,12.08,41.96,58.75,75.54,92.32,109.1,125.9
12/20,50.4,-0.7,-1.37%,4.21,12.02,41.94,58.72,75.5,92.27,109,125.8
12/19,51.1,-0.3,-0.58%,4.21,12.19,41.92,58.69,75.45,92.22,109,125.8
12/18,51.4,-0.4,-0.77%,4.21,12.27,41.9,58.66,75.41,92.17,108.9,125.7
12/17,51.8,-1.2,-2.26%,4.21,12.37,41.87,58.62,75.37,92.12,108.9,125.6
12/16,53,+0.1,+0.19%,4.21,12.66,41.85,58.59,75.33,92.07,108.8,125.6
12/13,52.9,-0.2,-0.38%,4.21,12.65,41.83,58.56,75.29,92.02,108.8,125.5
12/12,53.1,-0.4,-0.75%,4.21,12.7,41.81,58.53,75.25,91.97,108.7,125.4
12/11,53.5,+0.4,+0.75%,4.21,12.8,41.78,58.5,75.21,91.92,108.6,125.4
12/10,53.1,-0.6,-1.12%,4.21,12.72,41.76,58.47,75.17,91.87,108.6,125.3
12/09,53.7,-0.1,-0.19%,4.21,12.87,41.74,58.43,75.13,91.83,108.5,125.2
12/06,53.8,+0.3,+0.56%,4.21,12.9,41.72,58.4,75.09,91.78,108.5,125.1
12/05,53.5,-0.2,-0.37%,4.21,12.83,41.69,58.37,75.05,91.73,108.4,125.1
12/04,53.7,0,0%,4.21,12.89,41.67,58.34,75.01,91.68,108.3,125
12/03,53.7,0,0%,4.21,12.89,41.65,58.31,74.97,91.63,108.3,124.9
12/02,53.7,+0.4,+0.75%,4.21,12.9,41.63,58.28,74.93,91.58,108.2,124.9
11/29,53.3,+0.1,+0.19%,4.21,12.81,41.6,58.24,74.89,91.53,108.2,124.8
11/28,53.2,0,0%,4.21,12.79,41.58,58.21,74.85,91.48,108.1,124.7
11/27,53.2,+0.3,+0.57%,4.21,12.8,41.56,58.18,74.8,91.43,108.1,124.7
11/26,52.9,-0.5,-0.94%,4.21,12.74,41.54,58.15,74.76,91.38,108,124.6
11/25,53.4,+0.6,+1.14%,4.21,12.86,41.51,58.12,74.72,91.33,107.9,124.5
11/22,52.8,0,0%,4.21,12.73,41.49,58.09,74.68,91.28,107.9,124.5
11/21,52.8,-0.1,-0.19%,4.21,12.73,41.47,58.05,74.64,91.23,107.8,124.4
11/20,52.9,+0.2,+0.38%,4.21,12.76,41.45,58.02,74.6,91.18,107.8,124.3
11/19,52.7,+0.6,+1.15%,4.21,12.72,41.42,57.99,74.56,91.13,107.7,124.3
11/18,52.1,+0.6,+1.17%,4.21,12.58,41.4,57.96,74.52,91.08,107.6,124.2
11/15,51.5,+0.2,+0.39%,4.21,12.45,41.38,57.93,74.48,91.03,107.6,124.1
11/14,51.3,+0.1,+0.2%,4.21,12.4,41.35,57.9,74.44,90.98,107.5,124.1
11/13,51.2,+0.2,+0.39%,4.21,12.39,41.33,57.87,74.4,90.93,107.5,124
11/12,51,-0.4,-0.78%,4.21,12.35,41.31,57.83,74.36,90.88,107.4,123.9
11/11,51.4,+0.2,+0.39%,4.21,12.45,41.29,57.8,74.32,90.83,107.3,123.9
11/08,51.2,+0.1,+0.2%,4.21,12.41,41.26,57.77,74.28,90.78,107.3,123.8
11/07,51.1,+0.1,+0.2%,4.21,12.39,41.24,57.74,74.24,90.73,107.2,123.7
11/06,51,-0.1,-0.2%,4.21,12.37,41.22,57.71,74.19,90.68,107.2,123.7
11/05,51.1,-0.4,-0.78%,4.21,12.4,41.2,57.68,74.15,90.63,107.1,123.6
11/04,51.5,-0.1,-0.19%,4.21,12.51,41.17,57.64,74.11,90.58,107.1,123.5
11/01,51.6,+0.4,+0.78%,4.21,12.54,41.15,57.61,74.07,90.53,107,123.5
10/30,51.2,0,0%,4.21,12.45,41.13,57.58,74.03,90.48,106.9,123.4
10/29,51.2,+0.1,+0.2%,4.21,12.46,41.11,57.55,73.99,90.43,106.9,123.3
10/28,51.1,+0.2,+0.39%,4.21,12.44,41.08,57.52,73.95,90.38,106.8,123.3
10/25,50.9,0,0%,4.21,12.4,41.06,57.49,73.91,90.33,106.8,123.2
10/24,50.9,0,0%,4.21,12.4,41.04,57.45,73.87,90.29,106.7,123.1
10/23,50.9,-0.6,-1.17%,4.21,12.41,41.02,57.42,73.83,90.24,106.6,123
10/22,51.5,0,0%,4.21,12.56,40.99,57.39,73.79,90.19,106.6,123
10/21,51.5,0,0%,4.21,12.57,40.97,57.36,73.75,90.14,106.5,122.9
10/18,51.5,+0.3,+0.59%,4.21,12.58,40.95,57.33,73.71,90.09,106.5,122.8
10/17,51.2,+0.7,+1.39%,4.21,12.51,40.93,57.3,73.67,90.04,106.4,122.8
10/16,50.5,-1.4,-2.7%,4.21,12.35,40.9,57.26,73.63,89.99,106.3,122.7
10/15,51.9,+0.1,+0.19%,4.21,12.7,40.88,57.23,73.59,89.94,106.3,122.6
10/14,51.8,-0.3,-0.58%,4.21,12.68,40.86,57.2,73.54,89.89,106.2,122.6
10/11,52.1,+0.1,+0.19%,4.21,12.76,40.84,57.17,73.5,89.84,106.2,122.5
10/09,52,+0.1,+0.19%,4.21,12.74,40.81,57.14,73.46,89.79,106.1,122.4
10/08,51.9,-0.5,-0.95%,4.21,12.72,40.79,57.11,73.42,89.74,106.1,122.4
10/07,52.4,+0.5,+0.96%,4.21,12.85,40.77,57.07,73.38,89.69,106,122.3
10/04,51.9,+0.2,+0.39%,4.21,12.74,40.75,57.04,73.34,89.64,105.9,122.2
10/01,51.7,+0.2,+0.39%,4.21,12.7,40.72,57.01,73.3,89.59,105.9,122.2
09/30,51.5,-0.7,-1.34%,4.07,12.65,40.7,56.98,73.26,89.54,105.8,122.1
09/27,52.2,+0.9,+1.75%,4.07,12.8,40.78,57.1,73.41,89.72,106,122.3
09/26,51.3,-0.1,-0.19%,4.07,12.55,40.87,57.21,73.56,89.9,106.2,122.6
09/25,51.4,+0.1,+0.19%,4.07,12.55,40.95,57.33,73.71,90.08,106.5,122.8
09/24,51.3,-0.2,-0.39%,4.07,12.5,41.03,57.44,73.85,90.27,106.7,123.1
09/23,51.5,+0.3,+0.59%,4.07,12.53,41.11,57.56,74,90.45,106.9,123.3
09/20,51.2,-0.1,-0.19%,4.07,12.43,41.2,57.67,74.15,90.63,107.1,123.6
09/19,51.3,-0.1,-0.19%,4.07,12.43,41.28,57.79,74.3,90.81,107.3,123.8
09/18,51.4,+0.1,+0.19%,4.07,12.43,41.36,57.9,74.45,90.99,107.5,124.1
09/16,51.3,+0.4,+0.79%,4.07,12.38,41.44,58.02,74.6,91.17,107.8,124.3
09/13,50.9,-0.1,-0.2%,4.07,12.26,41.53,58.14,74.75,91.36,108,124.6
09/12,51,+0.1,+0.2%,4.07,12.26,41.61,58.25,74.89,91.54,108.2,124.8
09/11,50.9,0,0%,4.07,12.21,41.69,58.37,75.04,91.72,108.4,125.1
09/10,50.9,-0.3,-0.59%,4.07,12.18,41.77,58.48,75.19,91.9,108.6,125.3
09/09,51.2,0,0%,4.07,12.23,41.86,58.6,75.34,92.08,108.8,125.6
09/06,51.2,+0.2,+0.39%,4.07,12.21,41.94,58.71,75.49,92.26,109,125.8
09/05,51,-0.3,-0.58%,4.07,12.14,42.02,58.83,75.64,92.45,109.3,126.1
09/04,51.3,-1.2,-2.29%,4.07,12.18,42.1,58.94,75.79,92.63,109.5,126.3
09/03,52.5,-0.3,-0.57%,4.07,12.44,42.19,59.06,75.93,92.81,109.7,126.6
09/02,52.8,-0.8,-1.49%,4.07,12.49,42.27,59.18,76.08,92.99,109.9,126.8
08/30,53.6,+0.9,+1.71%,4.07,12.66,42.35,59.29,76.23,93.17,110.1,127.1
08/29,52.7,-0.1,-0.19%,4.07,12.42,42.43,59.41,76.38,93.35,110.3,127.3
08/28,52.8,+0.7,+1.34%,4.07,12.42,42.52,59.52,76.53,93.53,110.5,127.5
08/27,52.1,+0.2,+0.39%,4.07,12.23,42.6,59.64,76.68,93.72,110.8,127.8
08/26,51.9,0,0%,4.07,12.16,42.68,59.75,76.83,93.9,111,128
08/23,51.9,-0.2,-0.38%,4.07,12.14,42.76,59.87,76.97,94.08,111.2,128.3
08/22,52.1,0,0%,4.07,12.16,42.85,59.98,77.12,94.26,111.4,128.5
08/21,52.1,+0.2,+0.39%,4.07,12.14,42.93,60.1,77.27,94.44,111.6,128.8
08/20,51.9,-0.1,-0.19%,4.07,12.07,43.01,60.22,77.42,94.62,111.8,129
08/19,52,0,0%,4.07,12.07,43.09,60.33,77.57,94.81,112,129.3
08/16,52,-0.2,-0.38%,4.07,12.04,43.18,60.45,77.72,94.99,112.3,129.5
08/15,52.2,-0.4,-0.76%,4.07,12.07,43.26,60.56,77.87,95.17,112.5,129.8
08/14,52.6,+0.1,+0.19%,4.07,12.14,43.34,60.68,78.01,95.35,112.7,130
08/13,52.5,-0.3,-0.57%,4.07,12.09,43.42,60.79,78.16,95.53,112.9,130.3
08/12,52.8,-0.2,-0.38%,4.07,12.14,43.51,60.91,78.31,95.71,113.1,130.5
08/09,53,+0.1,+0.19%,4.07,12.16,43.59,61.02,78.46,95.9,113.3,130.8
08/08,52.9,-0.1,-0.19%,4.07,12.11,43.67,61.14,78.61,96.08,113.5,131
08/07,53,+0.8,+1.53%,4.07,12.11,43.75,61.26,78.76,96.26,113.8,131.3
08/06,52.2,+0.9,+1.75%,4.07,11.91,43.84,61.37,78.91,96.44,114,131.5
08/05,51.3,-2.9,-5.35%,4.07,11.68,43.92,61.49,79.05,96.62,114.2,131.8
08/02,54.2,-1,-1.81%,4.07,12.32,44,61.6,79.2,96.8,114.4,132
08/01,55.2,-0.1,-0.18%,4.07,12.52,44.08,61.72,79.35,96.99,114.6,132.3
07/31,57.5,+0.1,+0.17%,4.07,13.02,44.17,61.83,79.5,97.17,114.8,132.5
07/30,57.4,-0.2,-0.35%,4.07,12.97,44.25,61.95,79.65,97.35,115,132.7
07/29,57.6,+0.2,+0.35%,4.07,12.99,44.33,62.06,79.8,97.53,115.3,133
07/26,57.4,-0.7,-1.2%,4.07,12.92,44.41,62.18,79.95,97.71,115.5,133.2
07/23,58.1,+0.6,+1.04%,4.07,13.06,44.5,62.3,80.09,97.89,115.7,133.5
07/22,57.5,-0.1,-0.17%,4.07,12.9,44.58,62.41,80.24,98.07,115.9,133.7
07/19,57.6,-0.8,-1.37%,4.07,12.9,44.66,62.53,80.39,98.26,116.1,134
07/18,58.4,+0.4,+0.69%,4.07,13.05,44.74,62.64,80.54,98.44,116.3,134.2
07/17,58,-0.3,-0.51%,4.07,12.94,44.83,62.76,80.69,98.62,116.6,134.5
07/16,58.3,+0.3,+0.52%,4.07,12.98,44.91,62.87,80.84,98.8,116.8,134.7
07/15,58,+0.4,+0.69%,4.07,12.89,44.99,62.99,80.99,98.98,117,135
07/12,57.6,+0.3,+0.52%,4.07,12.78,45.07,63.1,81.13,99.16,117.2,135.2
07/11,57.3,+0.2,+0.35%,4.07,12.69,45.16,63.22,81.28,99.35,117.4,135.5
07/10,57.1,-0.2,-0.35%,4.07,12.62,45.24,63.34,81.43,99.53,117.6,135.7
07/09,57.3,-0.7,-1.21%,4.07,12.64,45.32,63.45,81.58,99.71,117.8,136
07/08,58,+0.3,+0.52%,4.07,12.77,45.4,63.57,81.73,99.89,118.1,136.2
07/05,57.7,0,0%,4.07,12.68,45.49,63.68,81.88,100.1,118.3,136.5
07/04,57.7,+0.7,+1.23%,4.07,12.66,45.57,63.8,82.03,100.3,118.5,136.7
07/03,57,+0.3,+0.53%,4.07,12.49,45.65,63.91,82.17,100.4,118.7,137
07/02,56.7,-0.4,-0.7%,4.07,12.4,45.73,64.03,82.32,100.6,118.9,137.2
07/01,57.1,-0.1,-0.17%,4.07,12.46,45.82,64.14,82.47,100.8,119.1,137.5
06/28,57.2,+0.3,+0.53%,4.59,12.46,45.9,64.26,82.62,101,119.3,137.7
06/27,56.9,+0.2,+0.35%,4.59,12.38,45.95,64.33,82.71,101.1,119.5,137.9
06/26,56.7,-0.3,-0.53%,4.59,12.32,46,64.41,82.81,101.2,119.6,138
06/25,57,+0.4,+0.71%,4.59,12.38,46.06,64.48,82.9,101.3,119.7,138.2
06/24,56.6,-0.1,-0.18%,4.59,12.28,46.11,64.55,83,101.4,119.9,138.3
06/21,56.7,-0.3,-0.53%,4.59,12.28,46.16,64.63,83.09,101.6,120,138.5
06/20,57,0,0%,4.59,12.33,46.21,64.7,83.19,101.7,120.2,138.6
06/19,57,-0.2,-0.35%,4.59,12.32,46.27,64.77,83.28,101.8,120.3,138.8
06/18,57.2,-0.1,-0.17%,4.59,12.35,46.32,64.85,83.38,101.9,120.4,139
06/17,57.3,+0.3,+0.53%,4.59,12.36,46.37,64.92,83.47,102,120.6,139.1
06/14,57,+0.1,+0.18%,4.59,12.28,46.42,64.99,83.56,102.1,120.7,139.3
06/13,56.9,0,0%,4.59,12.24,46.48,65.07,83.66,102.2,120.8,139.4
06/12,56.9,-0.1,-0.18%,4.59,12.23,46.53,65.14,83.75,102.4,121,139.6
06/11,57,-0.1,-0.18%,4.59,12.24,46.58,65.21,83.85,102.5,121.1,139.7
06/07,57.1,-0.1,-0.17%,4.59,12.24,46.63,65.29,83.94,102.6,121.2,139.9
06/06,57.2,-0.1,-0.17%,4.59,12.25,46.69,65.36,84.04,102.7,121.4,140.1
06/05,57.3,+0.1,+0.17%,4.59,12.26,46.74,65.44,84.13,102.8,121.5,140.2
06/04,57.2,+0.5,+0.88%,4.59,12.22,46.79,65.51,84.23,102.9,121.7,140.4
06/03,56.7,-0.6,-1.05%,4.59,12.1,46.84,65.58,84.32,103.1,121.8,140.5
05/31,57.3,+0.8,+1.42%,4.59,12.22,46.9,65.66,84.41,103.2,121.9,140.7
05/30,56.5,-0.2,-0.35%,4.59,12.03,46.95,65.73,84.51,103.3,122.1,140.8
05/29,56.7,+0.4,+0.71%,4.59,12.06,47,65.8,84.6,103.4,122.2,141
05/28,56.3,-0.5,-0.88%,4.59,11.96,47.05,65.88,84.7,103.5,122.3,141.2
05/27,56.8,-0.3,-0.53%,4.59,12.06,47.11,65.95,84.79,103.6,122.5,141.3
05/24,57.1,-0.1,-0.17%,4.59,12.11,47.16,66.02,84.89,103.7,122.6,141.5
05/23,57.2,-0.8,-1.38%,4.59,12.12,47.21,66.1,84.98,103.9,122.7,141.6
05/22,58,-0.1,-0.17%,4.59,12.27,47.26,66.17,85.08,104,122.9,141.8
05/21,58.1,-0.3,-0.51%,4.59,12.28,47.32,66.24,85.17,104.1,123,141.9
05/20,58.4,+0.3,+0.52%,4.59,12.33,47.37,66.32,85.26,104.2,123.2,142.1
05/17,58.1,+0.5,+0.87%,4.59,12.25,47.42,66.39,85.36,104.3,123.3,142.3
05/16,57.6,-0.6,-1.03%,4.59,12.13,47.47,66.46,85.45,104.4,123.4,142.4
05/15,58.2,+0.1,+0.17%,4.59,12.25,47.53,66.54,85.55,104.6,123.6,142.6
05/14,58.1,0,0%,4.59,12.21,47.58,66.61,85.64,104.7,123.7,142.7
05/13,58.1,+0.5,+0.87%,4.59,12.2,47.63,66.68,85.74,104.8,123.8,142.9
05/10,57.6,-0.5,-0.86%,4.59,12.08,47.68,66.76,85.83,104.9,124,143.1
05/09,58.1,0,0%,4.59,12.17,47.74,66.83,85.92,105,124.1,143.2
05/08,58.1,+0.6,+1.04%,4.59,12.16,47.79,66.9,86.02,105.1,124.3,143.4
05/07,57.5,+0.1,+0.17%,4.59,12.02,47.84,66.98,86.11,105.3,124.4,143.5
05/06,57.4,+0.4,+0.7%,4.59,11.98,47.89,67.05,86.21,105.4,124.5,143.7
05/03,57,-0.4,-0.7%,4.59,11.89,47.95,67.12,86.3,105.5,124.7,143.8
05/02,57.4,+0.2,+0.35%,4.59,11.96,48,67.2,86.4,105.6,124.8,144
04/30,57.2,-0.3,-0.52%,4.59,11.9,48.05,67.27,86.49,105.7,124.9,144.2
04/29,57.5,+0.5,+0.88%,4.59,11.95,48.1,67.34,86.59,105.8,125.1,144.3
04/26,57,-0.4,-0.7%,4.59,11.84,48.16,67.42,86.68,105.9,125.2,144.5
04/25,57.4,+0.4,+0.7%,4.59,11.91,48.21,67.49,86.77,106.1,125.3,144.6
04/24,57,-0.4,-0.7%,4.59,11.81,48.26,67.56,86.87,106.2,125.5,144.8
04/23,57.4,+1,+1.77%,4.59,11.88,48.31,67.64,86.96,106.3,125.6,144.9
04/22,56.4,+0.9,+1.62%,4.59,11.66,48.37,67.71,87.06,106.4,125.8,145.1
04/19,55.5,-0.2,-0.36%,4.59,11.46,48.42,67.79,87.15,106.5,125.9,145.3
04/18,55.7,+0.1,+0.18%,4.59,11.49,48.47,67.86,87.25,106.6,126,145.4
04/17,55.6,+0.4,+0.72%,4.59,11.46,48.52,67.93,87.34,106.8,126.2,145.6
04/16,55.2,-1.1,-1.95%,4.59,11.36,48.58,68.01,87.44,106.9,126.3,145.7
04/15,56.3,-0.9,-1.57%,4.59,11.58,48.63,68.08,87.53,107,126.4,145.9
04/12,57.2,-0.2,-0.35%,4.59,11.75,48.68,68.15,87.62,107.1,126.6,146
04/11,57.4,-0.6,-1.03%,4.59,11.78,48.73,68.23,87.72,107.2,126.7,146.2
04/10,58,0,0%,4.59,11.89,48.79,68.3,87.81,107.3,126.8,146.4
04/09,58,0,0%,4.59,11.88,48.84,68.37,87.91,107.4,127,146.5
04/08,58,+0.4,+0.69%,4.59,11.86,48.89,68.45,88,107.6,127.1,146.7
04/03,57.6,-0.2,-0.35%,4.59,11.77,48.94,68.52,88.1,107.7,127.3,146.8
04/02,57.8,-0.4,-0.69%,4.59,11.8,49,68.59,88.19,107.8,127.4,147
04/01,58.2,+0.5,+0.87%,4.59,11.87,49.05,68.67,88.29,107.9,127.5,147.1
03/29,57.7,0,0%,4.91,11.75,49.1,68.74,88.38,108,127.7,147.3
03/28,57.7,-0.1,-0.17%,4.91,11.76,49.08,68.72,88.35,108,127.6,147.2
