交易日期,收盤價,漲跌價,漲跌幅,BPS(元),目前PBR(倍),本淨比換算價格(1x),本淨比換算價格(1.4x),本淨比換算價格(1.8x),本淨比換算價格(2.2x),本淨比換算價格(2.6x),本淨比換算價格(3x)
12/03,53.7,0,0%,30.33,1.79,29.95,41.93,53.91,65.89,77.87,89.85
12/02,53.7,+0.4,+0.75%,30.33,1.79,29.93,41.9,53.87,65.85,77.82,89.79
11/29,53.3,+0.1,+0.19%,30.33,1.78,29.91,41.88,53.84,65.8,77.77,89.73
11/28,53.2,0,0%,30.33,1.78,29.89,41.85,53.81,65.76,77.72,89.68
11/27,53.2,+0.3,+0.57%,30.33,1.78,29.87,41.82,53.77,65.72,77.67,89.62
11/26,52.9,-0.5,-0.94%,30.33,1.77,29.85,41.8,53.74,65.68,77.62,89.56
11/25,53.4,+0.6,+1.14%,30.33,1.79,29.84,41.77,53.7,65.64,77.57,89.51
11/22,52.8,0,0%,30.33,1.77,29.82,41.74,53.67,65.6,77.52,89.45
11/21,52.8,-0.1,-0.19%,30.33,1.77,29.8,41.72,53.63,65.55,77.47,89.39
11/20,52.9,+0.2,+0.38%,30.33,1.78,29.78,41.69,53.6,65.51,77.42,89.33
11/19,52.7,+0.6,+1.15%,30.33,1.77,29.76,41.66,53.57,65.47,77.37,89.28
11/18,52.1,+0.6,+1.17%,30.33,1.75,29.74,41.64,53.53,65.43,77.32,89.22
11/15,51.5,+0.2,+0.39%,30.33,1.73,29.72,41.61,53.5,65.39,77.27,89.16
11/14,51.3,+0.1,+0.2%,30.33,1.73,29.7,41.58,53.46,65.34,77.23,89.11
11/13,51.2,+0.2,+0.39%,30.33,1.72,29.68,41.56,53.43,65.3,77.18,89.05
11/12,51,-0.4,-0.78%,30.33,1.72,29.66,41.53,53.39,65.26,77.13,88.99
11/11,51.4,+0.2,+0.39%,30.33,1.73,29.64,41.5,53.36,65.22,77.08,88.93
11/08,51.2,+0.1,+0.2%,30.33,1.73,29.63,41.48,53.33,65.18,77.03,88.88
11/07,51.1,+0.1,+0.2%,30.33,1.73,29.61,41.45,53.29,65.13,76.98,88.82
11/06,51,-0.1,-0.2%,30.33,1.72,29.59,41.42,53.26,65.09,76.93,88.76
11/05,51.1,-0.4,-0.78%,30.33,1.73,29.57,41.4,53.22,65.05,76.88,88.71
11/04,51.5,-0.1,-0.19%,30.33,1.74,29.55,41.37,53.19,65.01,76.83,88.65
11/01,51.6,+0.4,+0.78%,30.33,1.75,29.53,41.34,53.16,64.97,76.78,88.59
10/30,51.2,0,0%,30.33,1.73,29.51,41.32,53.12,64.93,76.73,88.53
10/29,51.2,+0.1,+0.2%,30.33,1.74,29.49,41.29,53.09,64.88,76.68,88.48
10/28,51.1,+0.2,+0.39%,30.33,1.73,29.47,41.26,53.05,64.84,76.63,88.42
10/25,50.9,0,0%,30.33,1.73,29.45,41.24,53.02,64.8,76.58,88.36
10/24,50.9,0,0%,30.33,1.73,29.44,41.21,52.98,64.76,76.53,88.31
10/23,50.9,-0.6,-1.17%,30.33,1.73,29.42,41.18,52.95,64.72,76.48,88.25
10/22,51.5,0,0%,30.33,1.75,29.4,41.16,52.92,64.67,76.43,88.19
10/21,51.5,0,0%,30.33,1.75,29.38,41.13,52.88,64.63,76.38,88.14
10/18,51.5,+0.3,+0.59%,30.33,1.75,29.36,41.1,52.85,64.59,76.33,88.08
10/17,51.2,+0.7,+1.39%,30.33,1.75,29.34,41.08,52.81,64.55,76.28,88.02
10/16,50.5,-1.4,-2.7%,30.33,1.72,29.32,41.05,52.78,64.51,76.24,87.96
10/15,51.9,+0.1,+0.19%,30.33,1.77,29.3,41.02,52.74,64.46,76.19,87.91
10/14,51.8,-0.3,-0.58%,30.33,1.77,29.28,41,52.71,64.42,76.14,87.85
10/11,52.1,+0.1,+0.19%,30.33,1.78,29.26,40.97,52.68,64.38,76.09,87.79
10/09,52,+0.1,+0.19%,30.33,1.78,29.25,40.94,52.64,64.34,76.04,87.74
10/08,51.9,-0.5,-0.95%,30.33,1.78,29.23,40.92,52.61,64.3,75.99,87.68
10/07,52.4,+0.5,+0.96%,30.33,1.79,29.21,40.89,52.57,64.26,75.94,87.62
10/04,51.9,+0.2,+0.39%,30.33,1.78,29.19,40.86,52.54,64.21,75.89,87.56
10/01,51.7,+0.2,+0.39%,30.33,1.77,29.17,40.84,52.5,64.17,75.84,87.51
09/30,51.5,-0.7,-1.34%,29.15,1.77,29.15,40.81,52.47,64.13,75.79,87.45
09/27,52.2,+0.9,+1.75%,29.15,1.79,29.13,40.78,52.43,64.08,75.73,87.38
09/26,51.3,-0.1,-0.19%,29.15,1.76,29.1,40.74,52.39,64.03,75.67,87.31
09/25,51.4,+0.1,+0.19%,29.15,1.77,29.08,40.71,52.34,63.98,75.61,87.24
09/24,51.3,-0.2,-0.39%,29.15,1.77,29.06,40.68,52.3,63.92,75.55,87.17
09/23,51.5,+0.3,+0.59%,29.15,1.77,29.03,40.65,52.26,63.87,75.49,87.1
09/20,51.2,-0.1,-0.19%,29.15,1.76,29.01,40.61,52.22,63.82,75.43,87.03
09/19,51.3,-0.1,-0.19%,29.15,1.77,28.99,40.58,52.18,63.77,75.37,86.96
09/18,51.4,+0.1,+0.19%,29.15,1.77,28.96,40.55,52.13,63.72,75.3,86.89
09/16,51.3,+0.4,+0.79%,29.15,1.77,28.94,40.52,52.09,63.67,75.24,86.82
09/13,50.9,-0.1,-0.2%,29.15,1.76,28.92,40.48,52.05,63.62,75.18,86.75
09/12,51,+0.1,+0.2%,29.15,1.77,28.89,40.45,52.01,63.57,75.12,86.68
09/11,50.9,0,0%,29.15,1.76,28.87,40.42,51.97,63.51,75.06,86.61
09/10,50.9,-0.3,-0.59%,29.15,1.76,28.85,40.39,51.92,63.46,75,86.54
09/09,51.2,0,0%,29.15,1.78,28.82,40.35,51.88,63.41,74.94,86.47
09/06,51.2,+0.2,+0.39%,29.15,1.78,28.8,40.32,51.84,63.36,74.88,86.4
09/05,51,-0.3,-0.58%,29.15,1.77,28.78,40.29,51.8,63.31,74.82,86.33
09/04,51.3,-1.2,-2.29%,29.15,1.78,28.75,40.25,51.76,63.26,74.76,86.26
09/03,52.5,-0.3,-0.57%,29.15,1.83,28.73,40.22,51.71,63.21,74.7,86.19
09/02,52.8,-0.8,-1.49%,29.15,1.84,28.71,40.19,51.67,63.15,74.64,86.12
08/30,53.6,+0.9,+1.71%,29.15,1.87,28.68,40.16,51.63,63.1,74.58,86.05
08/29,52.7,-0.1,-0.19%,29.15,1.84,28.66,40.12,51.59,63.05,74.52,85.98
08/28,52.8,+0.7,+1.34%,29.15,1.84,28.64,40.09,51.55,63,74.46,85.91
08/27,52.1,+0.2,+0.39%,29.15,1.82,28.61,40.06,51.5,62.95,74.39,85.84
08/26,51.9,0,0%,29.15,1.82,28.59,40.03,51.46,62.9,74.33,85.77
08/23,51.9,-0.2,-0.38%,29.15,1.82,28.57,39.99,51.42,62.85,74.27,85.7
08/22,52.1,0,0%,29.15,1.83,28.54,39.96,51.38,62.8,74.21,85.63
08/21,52.1,+0.2,+0.39%,29.15,1.83,28.52,39.93,51.34,62.74,74.15,85.56
08/20,51.9,-0.1,-0.19%,29.15,1.82,28.5,39.9,51.29,62.69,74.09,85.49
08/19,52,0,0%,29.15,1.83,28.47,39.86,51.25,62.64,74.03,85.42
08/16,52,-0.2,-0.38%,29.15,1.83,28.45,39.83,51.21,62.59,73.97,85.35
08/15,52.2,-0.4,-0.76%,29.15,1.84,28.43,39.8,51.17,62.54,73.91,85.28
08/14,52.6,+0.1,+0.19%,29.15,1.85,28.4,39.76,51.13,62.49,73.85,85.21
08/13,52.5,-0.3,-0.57%,29.15,1.85,28.38,39.73,51.08,62.44,73.79,85.14
08/12,52.8,-0.2,-0.38%,29.15,1.86,28.36,39.7,51.04,62.38,73.73,85.07
08/09,53,+0.1,+0.19%,29.15,1.87,28.33,39.67,51,62.33,73.67,85
08/08,52.9,-0.1,-0.19%,29.15,1.87,28.31,39.63,50.96,62.28,73.61,84.93
08/07,53,+0.8,+1.53%,29.15,1.87,28.29,39.6,50.92,62.23,73.55,84.86
08/06,52.2,+0.9,+1.75%,29.15,1.85,28.26,39.57,50.87,62.18,73.48,84.79
08/05,51.3,-2.9,-5.35%,29.15,1.82,28.24,39.54,50.83,62.13,73.42,84.72
08/02,54.2,-1,-1.81%,29.15,1.92,28.22,39.5,50.79,62.08,73.36,84.65
08/01,55.2,-0.1,-0.18%,29.15,1.96,28.19,39.47,50.75,62.03,73.3,84.58
07/31,57.5,+0.1,+0.17%,29.15,2.04,28.17,39.44,50.71,61.97,73.24,84.51
07/30,57.4,-0.2,-0.35%,29.15,2.04,28.15,39.41,50.66,61.92,73.18,84.44
07/29,57.6,+0.2,+0.35%,29.15,2.05,28.12,39.37,50.62,61.87,73.12,84.37
07/26,57.4,-0.7,-1.2%,29.15,2.04,28.1,39.34,50.58,61.82,73.06,84.3
07/23,58.1,+0.6,+1.04%,29.15,2.07,28.08,39.31,50.54,61.77,73,84.23
07/22,57.5,-0.1,-0.17%,29.15,2.05,28.05,39.27,50.5,61.72,72.94,84.16
07/19,57.6,-0.8,-1.37%,29.15,2.05,28.03,39.24,50.45,61.67,72.88,84.09
07/18,58.4,+0.4,+0.69%,29.15,2.09,28.01,39.21,50.41,61.61,72.82,84.02
07/17,58,-0.3,-0.51%,29.15,2.07,27.98,39.18,50.37,61.56,72.76,83.95
07/16,58.3,+0.3,+0.52%,29.15,2.09,27.96,39.14,50.33,61.51,72.7,83.88
07/15,58,+0.4,+0.69%,29.15,2.08,27.94,39.11,50.29,61.46,72.64,83.81
07/12,57.6,+0.3,+0.52%,29.15,2.06,27.91,39.08,50.24,61.41,72.57,83.74
07/11,57.3,+0.2,+0.35%,29.15,2.05,27.89,39.05,50.2,61.36,72.51,83.67
07/10,57.1,-0.2,-0.35%,29.15,2.05,27.87,39.01,50.16,61.31,72.45,83.6
07/09,57.3,-0.7,-1.21%,29.15,2.06,27.84,38.98,50.12,61.26,72.39,83.53
07/08,58,+0.3,+0.52%,29.15,2.08,27.82,38.95,50.08,61.2,72.33,83.46
07/05,57.7,0,0%,29.15,2.08,27.8,38.92,50.03,61.15,72.27,83.39
07/04,57.7,+0.7,+1.23%,29.15,2.08,27.77,38.88,49.99,61.1,72.21,83.32
07/03,57,+0.3,+0.53%,29.15,2.05,27.75,38.85,49.95,61.05,72.15,83.25
07/02,56.7,-0.4,-0.7%,29.15,2.04,27.73,38.82,49.91,61,72.09,83.18
07/01,57.1,-0.1,-0.17%,29.15,2.06,27.7,38.78,49.87,60.95,72.03,83.11
06/28,57.2,+0.3,+0.53%,27.68,2.07,27.68,38.75,49.82,60.9,71.97,83.04
06/27,56.9,+0.2,+0.35%,27.68,2.06,27.67,38.74,49.81,60.88,71.95,83.02
06/26,56.7,-0.3,-0.53%,27.68,2.05,27.66,38.73,49.8,60.86,71.93,82.99
06/25,57,+0.4,+0.71%,27.68,2.06,27.66,38.72,49.78,60.84,71.91,82.97
06/24,56.6,-0.1,-0.18%,27.68,2.05,27.65,38.71,49.77,60.83,71.89,82.95
06/21,56.7,-0.3,-0.53%,27.68,2.05,27.64,38.7,49.75,60.81,71.87,82.92
06/20,57,0,0%,27.68,2.06,27.63,38.69,49.74,60.79,71.85,82.9
06/19,57,-0.2,-0.35%,27.68,2.06,27.62,38.67,49.72,60.77,71.82,82.87
06/18,57.2,-0.1,-0.17%,27.68,2.07,27.62,38.66,49.71,60.76,71.8,82.85
06/17,57.3,+0.3,+0.53%,27.68,2.08,27.61,38.65,49.7,60.74,71.78,82.83
06/14,57,+0.1,+0.18%,27.68,2.07,27.6,38.64,49.68,60.72,71.76,82.8
06/13,56.9,0,0%,27.68,2.06,27.59,38.63,49.67,60.71,71.74,82.78
06/12,56.9,-0.1,-0.18%,27.68,2.06,27.59,38.62,49.65,60.69,71.72,82.76
06/11,57,-0.1,-0.18%,27.68,2.07,27.58,38.61,49.64,60.67,71.7,82.73
06/07,57.1,-0.1,-0.17%,27.68,2.07,27.57,38.6,49.63,60.65,71.68,82.71
06/06,57.2,-0.1,-0.17%,27.68,2.08,27.56,38.59,49.61,60.64,71.66,82.69
06/05,57.3,+0.1,+0.17%,27.68,2.08,27.55,38.58,49.6,60.62,71.64,82.66
06/04,57.2,+0.5,+0.88%,27.68,2.08,27.55,38.56,49.58,60.6,71.62,82.64
06/03,56.7,-0.6,-1.05%,27.68,2.06,27.54,38.55,49.57,60.58,71.6,82.62
05/31,57.3,+0.8,+1.42%,27.68,2.08,27.53,38.54,49.55,60.57,71.58,82.59
05/30,56.5,-0.2,-0.35%,27.68,2.05,27.52,38.53,49.54,60.55,71.56,82.57
05/29,56.7,+0.4,+0.71%,27.68,2.06,27.51,38.52,49.53,60.53,71.54,82.54
05/28,56.3,-0.5,-0.88%,27.68,2.05,27.51,38.51,49.51,60.52,71.52,82.52
05/27,56.8,-0.3,-0.53%,27.68,2.07,27.5,38.5,49.5,60.5,71.5,82.5
05/24,57.1,-0.1,-0.17%,27.68,2.08,27.49,38.49,49.48,60.48,71.48,82.47
05/23,57.2,-0.8,-1.38%,27.68,2.08,27.48,38.48,49.47,60.46,71.46,82.45
05/22,58,-0.1,-0.17%,27.68,2.11,27.48,38.47,49.46,60.45,71.44,82.43
05/21,58.1,-0.3,-0.51%,27.68,2.12,27.47,38.45,49.44,60.43,71.42,82.4
05/20,58.4,+0.3,+0.52%,27.68,2.13,27.46,38.44,49.43,60.41,71.4,82.38
05/17,58.1,+0.5,+0.87%,27.68,2.12,27.45,38.43,49.41,60.39,71.37,82.36
05/16,57.6,-0.6,-1.03%,27.68,2.1,27.44,38.42,49.4,60.38,71.35,82.33
05/15,58.2,+0.1,+0.17%,27.68,2.12,27.44,38.41,49.38,60.36,71.33,82.31
05/14,58.1,0,0%,27.68,2.12,27.43,38.4,49.37,60.34,71.31,82.28
05/13,58.1,+0.5,+0.87%,27.68,2.12,27.42,38.39,49.36,60.32,71.29,82.26
05/10,57.6,-0.5,-0.86%,27.68,2.1,27.41,38.38,49.34,60.31,71.27,82.24
05/09,58.1,0,0%,27.68,2.12,27.4,38.37,49.33,60.29,71.25,82.21
05/08,58.1,+0.6,+1.04%,27.68,2.12,27.4,38.36,49.31,60.27,71.23,82.19
05/07,57.5,+0.1,+0.17%,27.68,2.1,27.39,38.34,49.3,60.26,71.21,82.17
05/06,57.4,+0.4,+0.7%,27.68,2.1,27.38,38.33,49.29,60.24,71.19,82.14
05/03,57,-0.4,-0.7%,27.68,2.08,27.37,38.32,49.27,60.22,71.17,82.12
05/02,57.4,+0.2,+0.35%,27.68,2.1,27.37,38.31,49.26,60.2,71.15,82.1
04/30,57.2,-0.3,-0.52%,27.68,2.09,27.36,38.3,49.24,60.19,71.13,82.07
04/29,57.5,+0.5,+0.88%,27.68,2.1,27.35,38.29,49.23,60.17,71.11,82.05
04/26,57,-0.4,-0.7%,27.68,2.08,27.34,38.28,49.21,60.15,71.09,82.02
04/25,57.4,+0.4,+0.7%,27.68,2.1,27.33,38.27,49.2,60.13,71.07,82
04/24,57,-0.4,-0.7%,27.68,2.09,27.33,38.26,49.19,60.12,71.05,81.98
04/23,57.4,+1,+1.77%,27.68,2.1,27.32,38.25,49.17,60.1,71.03,81.95
04/22,56.4,+0.9,+1.62%,27.68,2.07,27.31,38.23,49.16,60.08,71.01,81.93
04/19,55.5,-0.2,-0.36%,27.68,2.03,27.3,38.22,49.14,60.07,70.99,81.91
04/18,55.7,+0.1,+0.18%,27.68,2.04,27.29,38.21,49.13,60.05,70.97,81.88
04/17,55.6,+0.4,+0.72%,27.68,2.04,27.29,38.2,49.12,60.03,70.95,81.86
04/16,55.2,-1.1,-1.95%,27.68,2.02,27.28,38.19,49.1,60.01,70.92,81.84
04/15,56.3,-0.9,-1.57%,27.68,2.06,27.27,38.18,49.09,60,70.9,81.81
04/12,57.2,-0.2,-0.35%,27.68,2.1,27.26,38.17,49.07,59.98,70.88,81.79
04/11,57.4,-0.6,-1.03%,27.68,2.11,27.26,38.16,49.06,59.96,70.86,81.77
04/10,58,0,0%,27.68,2.13,27.25,38.15,49.04,59.94,70.84,81.74
04/09,58,0,0%,27.68,2.13,27.24,38.14,49.03,59.93,70.82,81.72
04/08,58,+0.4,+0.69%,27.68,2.13,27.23,38.12,49.02,59.91,70.8,81.69
04/03,57.6,-0.2,-0.35%,27.68,2.12,27.22,38.11,49,59.89,70.78,81.67
04/02,57.8,-0.4,-0.69%,27.68,2.12,27.22,38.1,48.99,59.87,70.76,81.65
04/01,58.2,+0.5,+0.87%,27.68,2.14,27.21,38.09,48.97,59.86,70.74,81.62
03/29,57.7,0,0%,27.2,2.12,27.2,38.08,48.96,59.84,70.72,81.6
03/28,57.7,-0.1,-0.17%,27.2,2.12,27.21,38.1,48.99,59.87,70.76,81.64
