交易日期,收盤價,漲跌價,漲跌幅,BPS(元),目前PBR(倍),本淨比換算價格(1x),本淨比換算價格(1.4x),本淨比換算價格(1.8x),本淨比換算價格(2.2x),本淨比換算價格(2.6x),本淨比換算價格(3x)
03/27,58.2,+0.2,+0.34%,29.13,1.99,29.17,40.84,52.51,64.18,75.85,87.52
03/26,58,+0.2,+0.35%,29.13,1.99,29.2,40.87,52.55,64.23,75.91,87.59
03/25,57.8,-0.5,-0.86%,29.13,1.98,29.22,40.9,52.59,64.28,75.96,87.65
03/24,58.3,+0.8,+1.39%,29.13,1.99,29.24,40.93,52.63,64.33,76.02,87.72
03/21,57.5,-0.5,-0.86%,29.13,1.97,29.26,40.97,52.67,64.37,76.08,87.78
03/20,58,+0.1,+0.17%,29.13,1.98,29.28,41,52.71,64.42,76.14,87.85
03/19,57.9,-0.1,-0.17%,29.13,1.98,29.3,41.03,52.75,64.47,76.19,87.91
03/18,58,+0.6,+1.05%,29.13,1.98,29.33,41.06,52.79,64.52,76.25,87.98
03/17,57.4,0,0%,29.13,1.96,29.35,41.09,52.83,64.57,76.31,88.04
03/14,57.4,+0.6,+1.06%,29.13,1.95,29.37,41.12,52.87,64.61,76.36,88.11
03/13,56.8,+0.8,+1.43%,29.13,1.93,29.39,41.15,52.91,64.66,76.42,88.18
03/12,56,-0.1,-0.18%,29.13,1.9,29.41,41.18,52.94,64.71,76.48,88.24
03/11,56.1,0,0%,29.13,1.91,29.44,41.21,52.98,64.76,76.53,88.31
03/10,56.1,+0.3,+0.54%,29.13,1.9,29.46,41.24,53.02,64.81,76.59,88.37
03/07,55.8,0,0%,29.13,1.89,29.48,41.27,53.06,64.85,76.65,88.44
03/06,55.8,0,0%,29.13,1.89,29.5,41.3,53.1,64.9,76.7,88.5
03/05,55.8,+0.1,+0.18%,29.13,1.89,29.52,41.33,53.14,64.95,76.76,88.57
03/04,55.7,0,0%,29.13,1.89,29.54,41.36,53.18,65,76.82,88.63
03/03,55.7,+0.1,+0.18%,29.13,1.88,29.57,41.39,53.22,65.05,76.87,88.7
02/27,55.6,-0.4,-0.71%,29.13,1.88,29.59,41.42,53.26,65.09,76.93,88.76
02/26,56,-0.1,-0.18%,29.13,1.89,29.61,41.45,53.3,65.14,76.99,88.83
02/25,56.1,-0.5,-0.88%,29.13,1.89,29.63,41.48,53.34,65.19,77.04,88.9
02/24,56.6,+0.5,+0.89%,29.13,1.91,29.65,41.52,53.38,65.24,77.1,88.96
02/21,56.1,+0.3,+0.54%,29.13,1.89,29.68,41.55,53.42,65.29,77.16,89.03
02/20,55.8,+0.8,+1.45%,29.13,1.88,29.7,41.58,53.46,65.33,77.21,89.09
02/19,55,0,0%,29.13,1.85,29.72,41.61,53.49,65.38,77.27,89.16
02/18,55,0,0%,29.13,1.85,29.74,41.64,53.53,65.43,77.33,89.22
02/17,55,+1.1,+2.04%,29.13,1.85,29.76,41.67,53.57,65.48,77.38,89.29
02/14,53.9,+0.3,+0.56%,29.13,1.81,29.78,41.7,53.61,65.53,77.44,89.35
02/13,53.6,+0.6,+1.13%,29.13,1.8,29.81,41.73,53.65,65.57,77.5,89.42
02/12,53,-0.3,-0.56%,29.13,1.78,29.83,41.76,53.69,65.62,77.55,89.48
02/11,53.3,-0.1,-0.19%,29.13,1.79,29.85,41.79,53.73,65.67,77.61,89.55
02/10,53.4,-0.1,-0.19%,29.13,1.79,29.87,41.82,53.77,65.72,77.67,89.62
02/07,53.5,+0.1,+0.19%,29.13,1.79,29.89,41.85,53.81,65.77,77.72,89.68
02/06,53.4,+0.3,+0.56%,29.13,1.79,29.92,41.88,53.85,65.81,77.78,89.75
02/05,53.1,+0.1,+0.19%,29.13,1.77,29.94,41.91,53.89,65.86,77.84,89.81
02/04,53,+0.3,+0.57%,29.13,1.77,29.96,41.94,53.93,65.91,77.89,89.88
02/03,52.7,+1.1,+2.13%,29.13,1.76,29.98,41.97,53.97,65.96,77.95,89.94
01/22,51.6,-0.2,-0.39%,29.13,1.72,30,42,54,66.01,78.01,90.01
01/21,51.8,-0.1,-0.19%,29.13,1.73,30.02,42.03,54.04,66.05,78.06,90.07
01/20,51.9,-0.2,-0.38%,29.13,1.73,30.05,42.06,54.08,66.1,78.12,90.14
01/17,52.1,+0.6,+1.17%,29.13,1.73,30.07,42.1,54.12,66.15,78.18,90.2
01/16,51.5,-0.3,-0.58%,29.13,1.71,30.09,42.13,54.16,66.2,78.23,90.27
01/15,51.8,-0.2,-0.38%,29.13,1.72,30.11,42.16,54.2,66.25,78.29,90.34
01/14,52,0,0%,29.13,1.73,30.13,42.19,54.24,66.29,78.35,90.4
01/13,52,+0.9,+1.76%,29.13,1.72,30.16,42.22,54.28,66.34,78.4,90.47
01/10,51.1,+0.5,+0.99%,29.13,1.69,30.18,42.25,54.32,66.39,78.46,90.53
01/09,50.6,-1,-1.94%,29.13,1.68,30.2,42.28,54.36,66.44,78.52,90.6
01/08,51.6,+0.4,+0.78%,29.13,1.71,30.22,42.31,54.4,66.49,78.57,90.66
01/07,51.2,-0.6,-1.16%,29.13,1.69,30.24,42.34,54.44,66.53,78.63,90.73
01/06,51.8,+0.4,+0.78%,29.13,1.71,30.26,42.37,54.48,66.58,78.69,90.79
01/03,51.4,+0.1,+0.19%,29.13,1.7,30.29,42.4,54.52,66.63,78.74,90.86
01/02,51.3,-0.2,-0.39%,29.13,1.69,30.31,42.43,54.55,66.68,78.8,90.92
12/31,51.5,-0.4,-0.77%,30.33,1.7,30.33,42.46,54.59,66.73,78.86,90.99
12/30,51.9,-0.5,-0.95%,30.33,1.71,30.31,42.44,54.56,66.68,78.81,90.93
12/27,52.4,-0.6,-1.13%,30.33,1.73,30.29,42.41,54.53,66.64,78.76,90.88
12/26,53,+0.4,+0.76%,30.33,1.75,30.27,42.38,54.49,66.6,78.71,90.82
12/25,52.6,+0.6,+1.15%,30.33,1.74,30.25,42.36,54.46,66.56,78.66,90.76
12/24,52,+1.3,+2.56%,30.33,1.72,30.23,42.33,54.42,66.52,78.61,90.7
12/23,50.7,+0.3,+0.6%,30.33,1.68,30.22,42.3,54.39,66.47,78.56,90.65
12/20,50.4,-0.7,-1.37%,30.33,1.67,30.2,42.28,54.35,66.43,78.51,90.59
12/19,51.1,-0.3,-0.58%,30.33,1.69,30.18,42.25,54.32,66.39,78.46,90.53
12/18,51.4,-0.4,-0.77%,30.33,1.7,30.16,42.22,54.29,66.35,78.41,90.48
12/17,51.8,-1.2,-2.26%,30.33,1.72,30.14,42.2,54.25,66.31,78.36,90.42
12/16,53,+0.1,+0.19%,30.33,1.76,30.12,42.17,54.22,66.27,78.31,90.36
12/13,52.9,-0.2,-0.38%,30.33,1.76,30.1,42.14,54.18,66.22,78.26,90.3
12/12,53.1,-0.4,-0.75%,30.33,1.77,30.08,42.12,54.15,66.18,78.21,90.25
12/11,53.5,+0.4,+0.75%,30.33,1.78,30.06,42.09,54.11,66.14,78.17,90.19
12/10,53.1,-0.6,-1.12%,30.33,1.77,30.04,42.06,54.08,66.1,78.12,90.13
12/09,53.7,-0.1,-0.19%,30.33,1.79,30.03,42.04,54.05,66.06,78.07,90.08
12/06,53.8,+0.3,+0.56%,30.33,1.79,30.01,42.01,54.01,66.01,78.02,90.02
12/05,53.5,-0.2,-0.37%,30.33,1.78,29.99,41.98,53.98,65.97,77.97,89.96
12/04,53.7,0,0%,30.33,1.79,29.97,41.96,53.94,65.93,77.92,89.91
